iter	Passed	Remaining
0	1	122
1	2	109
2	3	104
3	4	99
4	5	98
5	6	96
6	7	93
7	7	91
8	8	90
9	9	88
10	10	87
11	11	87
12	12	85
13	13	84
14	14	82
15	15	81
16	16	80
17	17	80
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	25	70
27	26	69
28	27	67
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	38	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	47
49	47	47
50	47	46
51	48	45
52	49	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	93	0
